150.236.4.230, 2014-02-12 15:44:13, GET, /, HTTP/1.1, 303, 0.002000
150.236.4.230, 2014-02-12 15:44:14, GET, /welcome/default/index, HTTP/1.1, 200, 1.125000
150.236.4.230, 2014-02-12 15:44:14, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.005000
150.236.4.230, 2014-02-12 15:44:14, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.007000
150.236.4.230, 2014-02-12 15:44:14, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.007000
150.236.4.230, 2014-02-12 15:44:14, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.008000
150.236.4.230, 2014-02-12 15:44:14, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.007000
150.236.4.230, 2014-02-12 15:44:14, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.007000
150.236.4.230, 2014-02-12 15:44:14, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.007000
150.236.4.230, 2014-02-12 15:44:14, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.006000
150.236.4.230, 2014-02-12 15:44:14, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.005000
150.236.4.230, 2014-02-12 15:44:14, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003000
150.236.4.230, 2014-02-12 15:44:14, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.007000
150.236.4.230, 2014-02-12 15:44:14, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.005000
150.236.4.230, 2014-02-12 15:44:15, GET, /welcome/static/css/web2py_bootstrap_nojs.css, HTTP/1.1, 200, 0.002000
150.236.4.230, 2014-02-12 15:44:15, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:44:17, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
